url,filename,source_page,degree,program,doctype,version,start_date,end_date,status,local_pdf_path,local_md_path,html_context
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Curricula/Curriculum_M_WIng1.0.pdf,Curriculum_M_WIng1.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Studienverlaufsplan,,,,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\unknown_archiviert\Curriculum_M_WIng1.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\unknown_archiviert\Curriculum_M_WIng1.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Curricula/Curriculum_M_WIng3.0.pdf,Curriculum_M_WIng3.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Studienverlaufsplan,,,,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\unknown_archiviert\Curriculum_M_WIng3.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\unknown_archiviert\Curriculum_M_WIng3.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Curricula/Curriculum_M_WIng10.5.pdf,Curriculum_M_WIng10.5.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Studienverlaufsplan,10.5,2011-10-01,2014-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\10.5_archiviert\Curriculum_M_WIng10.5.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\10.5_archiviert\Curriculum_M_WIng10.5.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Modulhandbuecher/Modulhandbuch_M_WIng11.0.pdf,Modulhandbuch_M_WIng11.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Modulhandbuch,11.0,2011-10-01,2014-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\11.0_archiviert\Modulhandbuch_M_WIng11.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\11.0_archiviert\Modulhandbuch_M_WIng11.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Ordnungen/Studien-_Pr%C3%BCfungsordnungen/PO_M_WIng11.0.pdf,PO_M_WIng11.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Pruefungsverfahrensordnung,11.0,2011-10-01,2014-04-01,aktuell,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\11.0_aktuell\PO_M_WIng11.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\11.0_aktuell\PO_M_WIng11.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Ordnungen/Studien-_Pr%C3%BCfungsordnungen/SO_M_WIng11.0.pdf,SO_M_WIng11.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Studien- und Pruefungsordnung,11.0,2011-10-01,2014-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\11.0_archiviert\SO_M_WIng11.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\11.0_archiviert\SO_M_WIng11.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Curricula/Curriculum_M_WIng11.0.pdf,Curriculum_M_WIng11.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Studienverlaufsplan,11.0,2011-10-01,2014-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\11.0_archiviert\Curriculum_M_WIng11.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\11.0_archiviert\Curriculum_M_WIng11.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Modulhandbuecher/Modulhandbuch_M_WIng14.0.pdf,Modulhandbuch_M_WIng14.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Modulhandbuch,14.0,2014-10-01,2016-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\14.0_archiviert\Modulhandbuch_M_WIng14.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\14.0_archiviert\Modulhandbuch_M_WIng14.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Kacheln/Moduluebersicht_M_WIng14.0.pdf,Moduluebersicht_M_WIng14.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Moduluebersicht,14.0,2014-10-01,2016-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\14.0_archiviert\Moduluebersicht_M_WIng14.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\14.0_archiviert\Moduluebersicht_M_WIng14.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Modulhandbuecher/Modulhandbuch_M_WIng16.0.pdf,Modulhandbuch_M_WIng16.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Modulhandbuch,16.0,2016-10-01,2018-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\16.0_archiviert\Modulhandbuch_M_WIng16.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\16.0_archiviert\Modulhandbuch_M_WIng16.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Kacheln/Moduluebersicht_M_WIng16.0.pdf,Moduluebersicht_M_WIng16.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Moduluebersicht,16.0,2016-10-01,2018-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\16.0_archiviert\Moduluebersicht_M_WIng16.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\16.0_archiviert\Moduluebersicht_M_WIng16.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Ordnungen/Studien-_Pr%C3%BCfungsordnungen/SPO_M_WIng16.0.pdf,SPO_M_WIng16.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Studien- und Pruefungsordnung,16.0,2016-10-01,2018-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\16.0_archiviert\SPO_M_WIng16.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\16.0_archiviert\SPO_M_WIng16.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Curricula/Curriculum_M_WIng16.0.pdf,Curriculum_M_WIng16.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Studienverlaufsplan,16.0,2016-10-01,2018-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\16.0_archiviert\Curriculum_M_WIng16.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\16.0_archiviert\Curriculum_M_WIng16.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Modulhandbuecher/Modulhandbuch_M_WIng18.0.pdf,Modulhandbuch_M_WIng18.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Modulhandbuch,18.0,2018-10-01,2020-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\18.0_archiviert\Modulhandbuch_M_WIng18.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\18.0_archiviert\Modulhandbuch_M_WIng18.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Kacheln/Moduluebersicht_M_WIng18.0.pdf,Moduluebersicht_M_WIng18.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Moduluebersicht,18.0,2018-10-01,2020-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\18.0_archiviert\Moduluebersicht_M_WIng18.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\18.0_archiviert\Moduluebersicht_M_WIng18.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Ordnungen/Studien-_Pr%C3%BCfungsordnungen/SPO_M_WIng18.0.pdf,SPO_M_WIng18.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Studien- und Pruefungsordnung,18.0,2018-10-01,2020-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\18.0_archiviert\SPO_M_WIng18.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\18.0_archiviert\SPO_M_WIng18.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Curricula/Curriculum_M_WIng18.0.pdf,Curriculum_M_WIng18.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Studienverlaufsplan,18.0,2018-10-01,2020-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\18.0_archiviert\Curriculum_M_WIng18.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\18.0_archiviert\Curriculum_M_WIng18.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Modulhandbuecher/Modulhandbuch_M_WIng20.0.pdf,Modulhandbuch_M_WIng20.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Modulhandbuch,20.0,2020-10-01,2021-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\20.0_archiviert\Modulhandbuch_M_WIng20.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\20.0_archiviert\Modulhandbuch_M_WIng20.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Kacheln/Moduluebersicht_M_WIng20.0.pdf,Moduluebersicht_M_WIng20.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Moduluebersicht,20.0,2020-10-01,2021-04-01,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\20.0_archiviert\Moduluebersicht_M_WIng20.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\20.0_archiviert\Moduluebersicht_M_WIng20.0.md,
